"sold","price","rural","pool","surface","habSize","region"
1,128350,"No","No",248.34,"(0,10000]      ","04"
0,71500,"No","No",72,"(10000,50000]  ","17"
0,333140,"No","No",136.09,"(50000,1000000]","01"
0,180303.63,"No","No",157.01,"(50000,1000000]","17"
0,240000,"No","Yes",124.7,"(10000,50000]  ","01"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,138742,"No","No",114.15,"(10000,50000]  ","05"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,167000,"No","No",181.332,"(0,10000]      ","01"
0,196282.4,"No","No",203.14,"(10000,50000]  ","05"
0,190000,"No","No",176.05,"(0,10000]      ","22"
0,251348.14,"No","No",224.39,"(0,10000]      ","07"
0,175000,"No","No",213.21,"(0,10000]      ","01"
0,280000,"No","No",168.19,"(0,10000]      ","01"
0,115000,"No","No",88,"(50000,1000000]","02"
1,170000,"No","No",156.18,"(50000,1000000]","04"
0,242205.24,"No","No",216.53,"(0,10000]      ","07"
0,157000,"No","No",99.82,"(50000,1000000]","04"
1,230000,"No","Yes",148.29,"(0,10000]      ","01"
0,240000,"No","No",240,"(0,10000]      ","01"
1,169000,"No","No",162.6,"(10000,50000]  ","02"
0,262508.66,"No","Yes",126.71,"(0,10000]      ","02"
1,172970,"No","No",107.43,"(0,10000]      ","03"
1,224107.988665468,"No","No",197.1,"(10000,50000]  ","10"
0,525000,"No","No",142.75,"(10000,50000]  ","08"
1,270000,"No","Yes",237,"(0,10000]      ","13"
1,195000,"No","No",96,"(10000,50000]  ","15"
0,120042,"No","No",76.95,"(50000,1000000]","04"
0,290000,"No","No",282,"(10000,50000]  ","03"
0,240000,"No","Yes",124.7,"(10000,50000]  ","01"
0,288036.86,"No","No",85.7,"(10000,50000]  ","02"
0,215501.1,"No","No",129.91,"(0,10000]      ","17"
0,90300,"No","No",82.44,"(50000,1000000]","02"
0,170500,"No","No",81.46,"(10000,50000]  ","10"
1,85000,"No","No",73.36,"(0,10000]      ","02"
0,138995,"No","No",97.54,"(10000,50000]  ","03"
1,253067.947838023,"No","No",237.8,"(50000,1000000]","09"
0,191793,"No","No",112.63,"(10000,50000]  ","06"
0,171500,"No","Yes",162,"(0,10000]      ","07"
1,190000,"No","Yes",143.82,"(0,10000]      ","12"
0,138900,"No","No",191,"(0,10000]      ","01"
0,213314.43,"No","No",131.36,"(0,10000]      ","17"
0,196640,"No","No",98.32,"(10000,50000]  ","06"
1,314000,"No","No",244.21,"(0,10000]      ","12"
0,225000,"No","No",122.67,"(0,10000]      ","05"
0,259259.26,"No","No",219.65,"(10000,50000]  ","05"
1,260000,"No","Yes",124.7,"(10000,50000]  ","01"
0,224100,"No","No",92.31,"(0,10000]      ","10"
1,170288,"No","No",140.93,"(0,10000]      ","05"
0,380220,"No","No",286,"(0,10000]      ","14"
0,192543,"No","No",112.63,"(10000,50000]  ","06"
1,158760,"No","No",167.27,"(10000,50000]  ","03"
1,130000,"No","No",175.45,"(0,10000]      ","22"
0,154525,"No","No",129.95,"(0,10000]      ","11"
1,101981.295240536,"No","No",89.69,"(0,10000]      ","01"
0,189706,"No","No",191.58,"(0,10000]      ","03"
1,130000,"No","No",159.3,"(10000,50000]  ","04"
0,251451,"No","No",80.5,"(0,10000]      ","19"
1,80000,"No","No",125,"(0,10000]      ","01"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,220547.55,"No","Yes",103.19,"(0,10000]      ","02"
0,249000,"No","No",156.51,"(0,10000]      ","28"
0,104500,"No","No",83,"(50000,1000000]","17"
0,248271.2,"No","No",220.89,"(0,10000]      ","07"
0,235400,"No","No",80,"(10000,50000]  ","02"
0,280000,"No","No",168.19,"(0,10000]      ","01"
0,251348.14,"No","No",224.39,"(0,10000]      ","07"
0,82000,"No","No",74,"(10000,50000]  ","01"
0,227000,"No","No",108.01,"(0,10000]      ","01"
0,151000,"No","No",248.34,"(0,10000]      ","04"
0,415475,"No","No",209.12,"(0,10000]      ","01"
1,250000,"No","No",210,"(0,10000]      ","01"
0,144716.88,"No","No",126.06,"(0,10000]      ","05"
0,153200,"No","No",99,"(10000,50000]  ","01"
1,75000,"No","No",146.28,"(0,10000]      ","05"
0,268000,"No","No",118.35,"(0,10000]      ","05"
0,222500,"No","No",210.92,"(0,10000]      ","03"
0,195000,"No","No",80.4,"(10000,50000]  ","29"
0,275000,"No","No",176.5,"(0,10000]      ","01"
0,232400,"No","No",154.5,"(0,10000]      ","03"
0,280000,"No","No",256,"(10000,50000]  ","03"
0,189000,"No","No",196.33,"(0,10000]      ","01"
